title,txt,rating,revdate
Best dishwasher,"Love the 300 series. Extremely lightweight door, love controls on the outside, rinse aid alert, efficient use of space in loading and I adore the 3rd rack! Does an incredible job of cleaning, sanitizing and dishes are DRY! Would buy again. [This review was collected as part of a promotion.]",100,"April 20, 2020"
I love this thing. I have put it to the test with some real stuck on dishes and have yet to be di...,I love this thing. I have put it to the test with some real stuck on dishes and have yet to be disappointed! Previous was GE and was regularly displeased with it's performance. After 7 years that one failed (began to leak) so we replaced it with this fine machine.,100,"April 15, 2020"
In These Times: A Great Relief,"Our new dishwasher, the 300 series, is a lifesaver in these times of coronavirus. We replaced our old dishwasher which was at least 20 years old a few months ago.Our new dishwasher, the 300 series, is a lifesaver in these times of coronavirus. We replaced our old dishwasher which was at least 20 years old a few months ago. It was such a dilapidated machine, and so noisy, that we were reluctant to use it at all. Then we were so lucky to get this dishwasher. I can't believe how quiet it is. When I first ran it, I couldn't believe that it was running. I had to put my ear against the door. The first load that I washed was an eye-opener. A glass that I had assumed would be forever cloudy had miraculously become crystal-clear. I was ecstatic. Nowadays, most of our food is prepared at home. That generates so many dirty dishes every single day. But no problem! The dishes go in easily, we hit clean at the end of the night, and wake to beautifully clean and dry dishware. While I do have time on my hands because of the coronavirusBut no problem! The dishes go in easily, we hit clean at the end of the night, and wake to beautifully clean and dry dishware. While I do have time on my hands because of the coronavirus, I am not wasting it handwashing dishes, or re-washing dishes that weren't washed correctly in the old dishwasher. I marvel every day at the quality of this dishwasher and the work it does. Thank you so much. [This review was collected as part of a promotion.]",100,"April 14, 2020"
Silent Performance,"We recently selected all new appliances for our newly constructed home which features a large open area for the kitchen, eating area, and living room. We knew we needed appliances that would be efficient and quiet, so Bosch was on the top of the list. We've been completely pleased -- it's stylish, fits our decor, is very quiet, has an excellent capacity and flexibility, and cleans better than any dishwasher we've had before.

Thanks! [This review was collected as part of a promotion.]",100,"April 14, 2020"
"Bosch, if you want them clean!","My third bosch.  This one replaced a non-Bosch dishwasher that was only 3 years old.  I'd had a service guy work on it about a year ago (when it was only 2 years old).  They charged me nearly the cost of a new machine to replace the motherboard.  A year later it was dead again.  This time I did what I should have done the first time, gotten a Bosch.  Install was a breeze.  It worked right from day one and has never failed to clean completely whatever dirty dishes I've put into it.  Clean, wicked hot dry, quiet, energy efficent.  It even has a third (upper) tray for silverware, does that work good or what???  What more could you ask for? [This review was collected as part of a promotion.]",100,"April 10, 2020"
Love my Bosch!,Love my Bosch!,100,"March 31, 2020"
Quiet and cleans wonderfully,Best dishwasher I've ever had. It truly is so quiet that you don't know that its on. Love the top flatware tray which frees up space for dishes when you remove the usual holder. Cleans everything thoroughly!,100,"March 30, 2020"
Love My Bosch dishwasher,This is my second Bosch dishwasher of the exact same model that I have purchased. We bought one early last year but unfortunately sold our house quickly and had to leave it behind. So when we got to the new house of course we have to buy the same new Bosch. We love it it is quiet efficient and cleans the dishes beautifully! My husband will even let me run it while there's a football game on! [This review was collected as part of a promotion.],100,"March 29, 2020"
Great dishwasher.  The 3rd rack is amazing and really frees up space that is normally taken up by...,"Great dishwasher.  The 3rd rack is amazing and really frees up space that is normally taken up by longer cooking/serving utensils.  There is no heating element in the bottom so you don't have to worry about it warping or melting plastic containers.  No more limitations to ""Top Rack Only"".",100,"March 28, 2020"
"Beautiful, quiet machine!",I love this dishwasher! It's got a large capacity and is well organized inside. The best part? It's whisper quiet! I can't even hear it in the next room. And it looks beautiful in my kitchen! [This review was collected as part of a promotion.],100,"March 16, 2020"
Bosch dishwasher,"Love the new dishwasher! It's so quiet, I didn't think it was working at first! Took a road block to get it delivered and connected properly, to no avail!!! But, it's installed, working wonderfully, and my dishes are spotless! [This review was collected as part of a promotion.]",100,"March 11, 2020"
Pros: Does excellent job of cleaning. Third rack for flatware very convenient. Cons: Front doo...,"Pros: Does excellent job of cleaning. Third rack for flatware very convenient.
Cons: Front door panel is thin and flimsy, easily dented. Difficult to level.",100,"February 29, 2020"
We have had 2 previous Bosch dishwashers in our lifetime and we have been very satisfied with the...,"We have had 2 previous Bosch dishwashers in our lifetime and we have been very satisfied with them. Have had this new one almost a month and so far we are happy. I bought this model based on Consumer Reports review. My only comment - and it’s not a real negative - is that even with using the Extra Dry option, some things are still not totally dry - as we expected from the reviews.",100,"February 21, 2020"
"This is a great dishwasher. So great, in fact, I now own two. One I had installed in one home a...","This is a great dishwasher. So great, in fact, I now own two. One I had installed in one home and had no issues and has been great and the second I bought from Home Depot and is sitting in the corner of my new home because it has not been installed and cannot be returned (48 hour return policy). The features that stand out most about this Bosch are: cleans really well, very quiet, dependable and stylish appearance. I have owned the old one for a year and the new one for 10 days -- not sure how well the new one works yet because no one has installed it (despite paying). I would not say it meets expectations because I paid for a dishwasher that would be installed and wash dishes and did not receive that product and I cannot use the dishwasher with it sitting in the corner uninstalled. I dislike the fact that it is not useful for washing dishes and the cost was so high and it is not returnable. So basically I would not do this again.",100,"February 18, 2020"
I have had this dishwasher a couple of months.  I don't really think that reviewing a product whe...,"I have had this dishwasher a couple of months.  I don't really think that reviewing a product when it is so new is the best idea since you haven't experienced it long enough to give a accurate review.  I have tried to wait and then do reviews but usually the link won't work it you wait so I'll review what I know.  So far it has been great compared to the Maytag which I only kept 9 months.  I like the quietness, ability to clean, front controls, utensil & flatware rack, adjustable top rack, the countdown time, adjustable tines.  There are 2 of us and I wash dishes every other day.   The racks design still needs work.  If I place dinner plates, mixing bowls cookware on the bottom then the upper rack must be up and then cereal/soup bowls, saucers, mugs, drinking glasses won't fit.  And then of course the reverse is true.  I have left the basket out to give me more room and that helps but the non-movable tines limit what you can place on the bottom rack.  Drying is good.  Doesn't dry plastic or anything that will hold water (like bottom of cups).  The design of the upper rack is challenging to try to get cups, glasses, sauces, small bowls or plastic ware to fit in it.   So far I like this dishwasher and would recommend it as a best choice available today.",100,"February 15, 2020"
Impressive,"This is my 2nd bosch dishwasher. My first one was sold with my previous home bit it was 5 years old and very used with a family of 4 who 2 of thosewere young children.  This washer has the best cycle time and will clean all plates and dry 99% of the water off. Quiet easy to operate. The 3 tier rack is very nice idea. wash all utensils on top , remove the utensils container on bottom shelf and poof more room for dishes. We did our research and after owning a few other brands , we are convinced this in the best manufacture of dish washers. The perticular model best fit our budget and couldnt be happier. I will never buy a different manufacture of dishwasher again. [This review was collected as part of a promotion.]",100,"January 31, 2020"
Bosch SHEM63W55N!,"I have had this dishwasher for 5 months now and I am very happy with its performance! It can accumulate a few days of dishes at times. It does hold a lot of dishes. I didnt think I would like the 3rd rack but I do like it for the flatware now that I got used to it. I mostly use the Auto cycle, it washes flawlessly. This machine is very quiet but very powerful. I use rinseaid (jetdry) as suggested! It will tell me on the console when to add more jetdry. I wish it would let me know before it actually before it runs out so I am not pressed to add it just when I am starting a new cycle! I am also pleased with the drying performance. I have read so many complaints about the drying but those people probably arent using the jetdry! I had been using cascade platinum pods because I was stocked with it! Since I ran out I followed the Bosch recommendation and am currently using finish quantum pods. Both are really good but I do find the Cascade will shile the pots and flatware just a bit better! I also have soft water and I dont know if that has anything to do with it! Can Bosch give me a explination as to why they recommend Finish? I also forgot to mention I have my rinse aid set at low #2 because I am in a soft water area! I also wish Bosch would have given a better loading diagram because I use a few cutting boards at a time as well as odd shaped corning ware. I do manage to get everything in however! 
I give this dishwasher a 5 Star. I would like to hear back from Bosch on my comments. It took me a long time to get to this review because I run the machine 2 to 4 times a week, so I really wanted to test it out! [This review was collected as part of a promotion.]",100,"January 28, 2020"
"Pros: It is very quiet, which is really nice, washes...","Pros: It is very quiet, which is really nice, washes well, and the third utensil rack is a nice feature. Cons: The buttons seem really cheap and flimsy. And we’ve been very disappointed in the drying. Using both the drying and sanitizing cycles, dishes still come out wet.",60,"January 14, 2020"
Better than expected,"We've had a LG for 7 years.  That system decided to dump a full load of water onto our floor.  Bought our Bosch, love it.  Super quiet,  extremely clean results,  robust cleaning on dirty dishes...  Highly recommend!!! [This review was collected as part of a promotion.]",100,"December 25, 2019"
"Dishes are always clean, it is very quiet. Very happy with the purchase.","Dishes are always clean, it is very quiet. Very happy with the purchase.",100,"December 24, 2019"
"Works great! My husband installed it, we needed extra part...","Works great! My husband installed it, we needed extra part bc we have a plug not hard wired. It dries well and I love the third rack for travel mug lids and ramekins. I did have to lower the middle rack so our bigger bowls had clearance. Thankful for that feature!  no prewash either just load!",100,"December 22, 2019"
Quiet and fabulous!,"I bought a new home and the builder put another brand low end dishwasher that was LOUD! I bought the Bosch because it had great reviews and it Lives up to them. Super quiet. I had to touch it the first few times to make sure it was on. Cleans the dishes perfectly and I use the  extra dry function, they come out sparkling and no water left on the dishes. I would highly recommend this dishwasher. [This review was collected as part of a promotion.]",100,"December 4, 2019"
Bosch should be ashamed of this dishwasher! Lesser model was recorded to me but I have a bigger f...,"Bosch should be ashamed of this dishwasher! Lesser model was recorded to me but I have a bigger family so I went up a level. Dishwasher sucks. Leaves food on the the dish’s, leaves food  on the door of the dishwasher, when it releases the detergent it drops it in the handle of the top rack so it will not dissolve. If I put JUST GLASSES in the dishwasher they come out with I k inside them. All around a bd design. Wish I had stuck with the Samsung.",20,"December 1, 2019"
"Bottom line, read the manual that comes with it, and load and use the dishwasher like it was desi...","Bottom line, read the manual that comes with it, and load and use the dishwasher like it was designed for, and you won't be disappointed.

After extensive and somewhat obsessive analysis of reviews both here at Home Depot and on Consumer Reports, I almost didn't buy this because of some common themes the negative reviews had. A sale and a coupon convinced me to take a leap however, and my fears have been so far unfounded and after about a month of use, this dishwasher works far better than any previous dishwasher I've ever had. 

As the first dishwasher I've ever installed, I can only advise to read the instructions, and if in doubt or they don't make sense at the time, follow them anyway, and it will become clear once you do what it says.  

Now to address some of the complaints previous purchasers have mentioned.  First off, the lack of a heating element to dry the dishes seems to cause some people problems, and frankly it was hard for me to get my head around the idea.  I've now tried all the cycles and all of them seem to work very well, even the 60 minute fast cycle (which is only for lightly soiled dishes, by the way).  The default cycle is Auto, without the Extra Dry option turned on, which uses an optical sensor to see how dirty the water is and adjusts the run time accordingly.  That is the one I use most, but there will be a little water left on top of cups if they aren't tilted, but that was the same with my old dishwasher.  With Extra Dry on, there isn't even that, and even plastic is dry unless you have something turned up the wrong way.  

So what's the secret?  Let the dishwasher do it's job the way it is designed to do it, and don't mess with it until it's done.  That means after it's finished washing, which is 2 hours 9 minutes on Auto with no other options (2:30 with Extra Dry on), LEAVE IT ALONE.  Do NOT open the door and let the steam out like some have said.  In fact, I usually let it sit for another 2 hours for good measure.  After that, put away your very clean and very dry dishes.  There is a heating element that super heats the final rinse water to heat up the dishes, which then causes the water to condense on the stainless tub and is then pulled off the dishes. Letting the steam out defeats the purpose, and opening the door too soon interrupts the process. 

Also, the use of a rinse aid like Jet Dry is a requirement for this dishwasher to work as it is designed.  

Second, there were some complaints about the display staying on, flimsy doors, etc.  The manual tells you how to reprogram a lot of settings and turn them on or off.  You can even alter the amount of rinse aid that gets dispensed, how long the display stays on after it finishes, and more.  As far as the door being flimsy - if you take it and try and flex it without the dishwasher being attached, it does seem a bit flimsy.  For comparison, I tried flexing my 20 year old Kenmore dishwasher door after I pulled it out, and it was even more flimsy - and it probably weighed less than this Bosch.

This is NOT a dishwasher for you if you are in a hurry, but if you work with it instead of against it, it works fantastic. I can probably put 50% more in this dishwasher than my previous one, and have even put in some really baked on and dried on food dishes, and it works amazingly well.  The adjustable top rack and the utensil tray are fantastic options, and I just removed the regular utensil caddy from the bottom rack entirely and only use the top tray now.

The only negatives were a minor scorched rubber smell when you open the door that has slowly dissipated over the past month, and there was a tiny scratch on the door when I unpacked it - which I simply fixed with a tiny touch of white enamel paint; you can't even tell it was ever there.  

Oh, and this thing is so quiet, I had to put my ear against the door to even tell if it was spraying.  There is a very low faint hum that comes from it that may bother some people sensitive to low frequencies, but that's a stretch, and could be affected by the flooring it is installed on.  Sorry for the long review, but I hope it helps someone with making a choice.",100,"November 12, 2019"
Bosch Dishwasher 300 Series - wimpy baskets,I love everything about this dishwasher EXCEPT the silverware basket.  I looked at ALL of the models in the lineup at multiple stores.  All Bosch models (high & low) have TINY baskets vs. the competition.  Why would a company go to such lengths to manufacturer the BEST dishwasher and then put cut corners on such an inexpensive part?? [This review was collected as part of a promotion.],80,"October 20, 2019"
"Quiet, well arranged tines for large and small dishes. Third rack holds nearly all our flatware. ...","Quiet, well arranged tines for large and small dishes. Third rack holds nearly all our flatware. I use the removable silverware basket for small things, like lids, that might get blown out of place by the powerful jets of water. The controls are easy to use and versatile enough to adjust to your needs.(speed or extra scrubbing or extra dry or disinfection)",100,"October 3, 2019"
"Beautiful, quiet and cleans thoroughly","I did a lot of research before buying our new dishwasher.  My family was in need of a dishwasher that was quiet, (so movies or conversation would not be interrupted), able to fit a large amount of dishes and still clean them well and that actually dried them.  Bosch was high up on several sites that I researched and we are very pleased with its performance.  I highly recommend this item. [This review was collected as part of a promotion.]",100,"September 19, 2019"
ABSOLUTELY GRAND BOSCH DISHWASHER,"Where should I even begin ... this happens to be my second Bosch dishwasher. My first Bosch dishwasher lasted over 15 years. I was told that the average life of a dishwasher is anywhere from 7 to 10 years so the Bosch brand certainly speaks for itself. I can go on and on about my new Bosch dishwasher -- here are  important, self-selling facts:  I know to only expect the highest durability, the best, truly excellent performance factor, easiest directions for operation,  and the quietest decibel level while in operation. The saying is, ""you get your money's worth"" well I certainly did!! Please do not hesitate to purchase your own Bosch dishwasher today. You will get the utmost satisfaction from your Bosch dishwasher purchase. [This review was collected as part of a promotion.]",100,"September 17, 2019"
Bosch is the best,So quite you hardly know it’s running!! Works greater and my dishes are super clean!!! [This review was collected as part of a promotion.],100,"September 15, 2019"
Overrated but ok. It's a dishwasher. It does a good job of making dishes shine but I put in clean...,"Overrated but ok. It's a dishwasher. It does a good job of making dishes shine but I put in clean dishes.  (Why? I wouldn't put garbage in a sink full of dishwater, either.)  It isn't easy to figure out the best placement for the varied sizes of plates and bowls. I also can't figure out how to fill rinse dispenser as it seems to leak out as I pour it in. I still have to call Bosch about that. 

The unit did not fit particularly well into same space occupied by three previous dishwashers. Installers didn't really care, and left a required new outlet box on floor of the cabinet under the sink instead of screwing it to wall, where it would have fit. 

Neither the side trim nor kick plate covers gaps between walls of dishwasher space, especially below the door hinge. The kick plate is small and installed with black screws although the appliance and plate are white.  Other Bosch dishwashers seem to have plates that click on the dishwasher, but that wasn't something I would or could have checked when I ordered it yes 

I went to Home Depot with pictures in evening after install. They said they'd contact the installer to correct issues.  The sales person followed up with a reassuring phone call the next day but it's been a week and we've heard nothing else. That's probably ok since we don't want Mario and Luigi trying to fix their own work.",60,"August 16, 2019"
Very Satisfied with Bosch 300 Series Dishwasher,"This seems to be a very nice dishwasher; it operates very quietly and has given us no problem in the 6 weeks we have had it.  But, the shortest wash cycle we can set is for 1 hour and 30 minutes.  We wish there was a shorter wash cycle.  Although we followed the manual's directions for programming the shut off time, we could never get it to work.  It just stays on after the wash cycle is finished until we hit the off switch.  This is a minor complaint and is of no real importance.  It does a really great job of washing and drying the dishes.  Couldn't be done better!",100,"June 24, 2019"
Very Satisfied with Bosch 300 Series Dishwasher,"This seems to be a very nice dishwasher; it operates very quietly and has given us no problem in the 6 weeks we have had it.  But, the shortest wash cycle we can set is for 1 hour and 30 minutes.  We wish there was a shorter wash cycle.  Although we followed the manual's directions for programming the shut off time, we could never get it to work.  It just stays on after the wash cycle is finished until we hit the off switch.  This is a minor complaint and is of no real importance.  It does a really great job of washing and drying the dishes.  Couldn't be done better! [This review was collected as part of a promotion.]",100,"June 24, 2019"
"I installed this dishwasher myself a little over a month ago. So far, so good. This is a nice dis...","I installed this dishwasher myself a little over a month ago. So far, so good. This is a nice dishwasher and I hope it lasts at least as long a the old Whirlpool it replaced.
Pros:
-Easy installation (as long as you have space in the adjacent cabinet for the power junction box)
-Clear instructions
-Extremely quiet operation
-Straightforward controls with real buttons
-Good capacity and flexibility for arranging the dishes and cutlery
-The third upper rack is pretty handy for small items
-Racks seem sturdy--moreso that a lot of other models I looked at--with good coating
-Nice aesthetics and thoughtful design
Cons:
-Leaves quite a bit of residual water unless you use the Extra Dry or Sanitize wash options
-Can get somewhat smelly in between washes (the quick rinse feature helps with this)
-The need to use a rinse agent per instructions is something I've never had to do this with any dishwasher I've used in the past
-Somewhat expensive--I think I could have been just as happy with the slightly louder Bosch model that doesn't have the third rack which was a couple hundred less--but if it lasts, the extra initial outlay will have been long forgotten.
-I was fortunate that the adjacent base cabinet had *just* enough space to mount the power junction box behind the drawers--I can imagine this requirement could complicate some installations.",100,"June 6, 2019"
So far after one day of use I like this dishwasher. I test ran it before pushing it into the cab...,"So far after one day of use I like this dishwasher. I test ran it before pushing it into the cabinet and it was quieter than than our old one and we can barely tell its on now that it is in the cabinet. I bought Bosh because of the Aquastop leak detection system as i am in the process of replacing my wood floors from the previous dishwashers leak. This dishwasher has an ""ON?OFF"" button which is a bit confusing to me as none of my other kitchen appliances have this. The top band of the appliance which contains the handle is plastic across the entire width of the unit which i am disappointed about.. Installation was a challenge near the end (I installed myself) because the feet on the front are difficult to rotate even with no weight on them and there is no space for a tool (to work around this lower the feet to be flush with the bottom of the unit prior to install within the cabinet.). Also, if you want to INSTALL YOURSELF have it DELIVERED ON A WEEK DAY, because the Bosch INSTALLATION HELP LINE IS ONLY OPEN MONDAY - FRIDAY. That said, if I needed install assistance or if my unit was broken it would have to be reported to the manufacturer, THEREFORE ITS BETTER TO HAVE HOME DEPOT INSTALL IT SO IF SOMETHING GOES WRONG IN THE FIRS 24-48 HRS HOME DEPOT HAS TO FIX IT. I wish the Home Depot sales lady would have told me both of those things.",80,"April 28, 2019"
This is the one!,"This is the one my wife wanted and was highly recommended by family that has one as well. The first time I started it I had to put my hand on it to  be sure that it was running, it really is that quiet! I have had no issues with this one so far and am very happy with this choice. [This review was collected as part of a promotion.]",100,"April 24, 2019"
Everything promised about it is great. Fast quiet thorough wash. The longest it takes even on the...,"Everything promised about it is great. Fast quiet thorough wash. The longest it takes even on the heavy cycle with extra dry is about 2.5 hours, as opposed to 4 hours on some brands. T

I wish the top rack would adjust easier, it can be difficult to maneuver.

It has strangely-angled tines. The photos in the instructions don't do a good job of illustrating how to load the bottom rack dishes with the oddly angled tines.I can't tell from the official Bosch You tube videos, either. The dishes can be slanted two ways, and one way angles them upward. If I slant them downward, they tend to ""clamshell."" 

Better illustrations in the instructions would be helpful.

The third rack is a great must-have.

I've had to replace every dishwasher in the last four houses I have owned, and this one is by far, the best!",80,"April 17, 2019"
Very good Dishwasher,"I researched and found this to be a really nice working quiet machine .
Some of the loading choices could be better but satisfactory 
Installed it which was handy having the plug attached to a junction box already 
The machine work very good and am very happy about spending the time to research and go through the deal to get this 
Would buy  the same if given the choice over again ! 
Don’t even notice it running and my house is an open floor plan 
Get one !! [This review was collected as part of a promotion.]",100,"April 15, 2019"
Is exceptionally quiet and cleans dishes very well.,Is exceptionally quiet and cleans dishes very well.,100,"April 9, 2019"
"I rarely write product reviews, but I feel compelled to this time because you NEED TO KNOW how gr...","I rarely write product reviews, but I feel compelled to this time because you NEED TO KNOW how great this dishwasher is. Disclaimers: I might have been more blown away because prior to installing this, I dealt with a dishwasher-less kitchen for 18 months, but I am well familiar with dishwashers, having had the luxury of one for 95% of my entire life. Also, we've been using it for about three weeks at this juncture, so the longevity of it is not something I can address yet.

In any case, from a looks perspective - of course, it's beautiful. I bought the white front-control one because I like white appliances, but in the store, the other colors were just as attractive.

All of its claims are true. I have found that you truly do not need to rinse the dishes. I have never pulled a dish out that was dirty. In fact, I tested the lengths of what it can do yesterday when I put a peanut butter-covered butter knife in there without getting the peanut butter off first. I put it in the top rack, and it was spotless when I pulled it out. I have never encountered that before.

It is so quiet, that sometimes we cannot tell when it is running. It is very water and electricity efficient. It does a really decent job of drying the dishes due to the stainless steel tub. If you upgrade to glass tupperware even better.

My fiance and I were talking the other day and we both were like, why would anyone even spend additional money on the more expensive models? This one is the best, so if you're a little hesitant to buy the 300, know that from my perspective, I can't imagine it doing anything any better.",100,"April 7, 2019"
Love it!,"After searching and reading reviews to buy my first dishwasher I decided to get this Bosch, it’s been about two months using it and so far I love it. It does its job cleaning and drying, though this the first one I own, I have used other ones in my previous jobs and did not like them, that is why I did make my research and found this one. [This review was collected as part of a promotion.]",100,"April 6, 2019"
GREAT purchase!,"I recently researched my options for a new dishwasher and found the Bosch Recessed Handle 300 series to be my best option.  All options I needed and more were found.  In addition, the high quality materials I desired and ease of installation were exceeded!  The quiet operation and enormous room for all of my dishes has shocked me and I wondered why I waited to so long to make this purchase.  I struggled because I had other brand name appliances in my kitchen but I would hands down make the decision to choose Bosch for my future appliances!  GREAT purchase and a Bosch customer for life! [This review was collected as part of a promotion.]",100,"March 24, 2019"
