title,txt,rating,revdate
"I want to start this off with a comment about my old dishwasher. When selecting a dishwasher, be...","I want to start this off with a comment about my old dishwasher. When selecting a dishwasher, beware of models with racks that fold up and down and allow you to reconfigure the space. While this sounds like a nice feature and gives you flexibility, what I found with this previous (Maytag) model is where the racks folded up and down became a failure point for the plastic coating on the rack. We didn’t move them up and down often, maybe once a year if that, but the clamp that holds them in place caused excessive wear on the plastic coating, which eventually wore away and rusted. Eventually I used a Dremel to cut away the rusted parts, bought a repair kit to patch up the plastic coating, and used bits of sprinkler wire to lash the remaining racks in place. This bought me several more years of useable live to the rack when otherwise I would have had to replace the unit.
Now as for the new DW. The design avoids the issue mentioned above. The racks slide very easily, so easily it’s surprising. The outer finish has the same issues with fingerprints, etc. that all our stainless-steel appliances do. The unit makes an efficient use of space and we like how the silverware rack is off to the side, opening up the center of the bottom section. 
This unit is also incredibly quiet when running. I’d estimate it makes about 25-30% of the noise our previous DW did. Our kitchen is open to the family room and I was able to watch television with a normal volume level while the dishwasher was running 10 feet behind me. Five Stars on the appliance so far. 
I feel I need to share our installation experience and offer some words of advice. If you’re going to be arranging your own installation, either by yourself or with your own plumber, I’ll leave it to you to follow the instructions provided. If you’re going to be utilizing Home Depot’s services, unless your DW space is immediately adjacent to your sink cabinet, I recommend you take a picture down to the local store and discuss the installation requirements with one of their salespeople. I completed my order online and scheduled the installation online. This was all easy so far. There are installation requirements available, but I found they are not complete. When the installers came the first time, they first checked my shutoff valve, found it had seized, and said it would have to be replaced before they could do the installation. There is nothing in the installation requirements about checking the valve. We offered to shut off the water completely but they said that wouldn’t suffice. The installers left a number for a plumber and said I could call and schedule him to come out to change the valve and complete the installation, and it would all be covered.
When I called the number, the plumber didn’t take my call so I left a message. He responded with a text message that he was not aware of any dishwasher install. I responded explaining the situation and he said they must have given me a wrong number because they don’t do that work. I found out later the installers should have given me the number of their office to schedule the work.
At this point I called my local store and talked to an associate in Appliances and was told that I would have to replace the shut off valve myself, and he gave me the number to call to arrange an installation afterwards. So I arranged for my plumber to replace the valve and scheduled an install at the next available time, about 10 days later.
When the second team of installers came they took one look at my kitchen configuration (see photo) and said because my DW cabinet was not immediately next to my sink cabinet (there is a wedge of open space in between) they were not authorized to do the install. I showed them the first work order with the phone number of the plumber they told me to call and they said the first installers never should have done that but should have put me in touch with dispatch to arrange for a licensed plumber to do it, at Home Depot’s expense. They called their office and I spoke with the scheduler and she confirmed they could arrange for someone to come out and do the work. We set a date/time and the work was eventually completed.
At this point I was fairly upset and visited my local store in person to discuss it. Unfortunately, the associate I spoke with on the phone was unavailable, but I talked with a couple of assistant managers and an appliance specialist. As soon as I described the kitchen layout, the specialist recognized the issue and said unless the DW space is right up against the sink cabinet, the regular installers “won’t touch it”. This was news to the two assistant managers. That’s why I say, it would have paid to talk first to someone at the store who knew about this, although I can’t say for sure it would have come up. The assistant manager did offer to make it right by me and I now have an installed quality appliance.",100,"October 16, 2019"
Nice Dishwasher,I like the looks & features of this Dishwasher & the Quality of GE,100,"October 8, 2019"
Great replacement,"Although replacing existing dishwasher I decided to do a like new install. Replacing both the water-in line, drain hose and the 120 volt cable connecting the old dishwasher. I connected the electrical cord to the new DDT700. Then replaced the switch under the sink with a switched outlet. Running the cord and new hoses was easy as I followed the path of the old ones.
  Applying the plastic trim pieces across the top and down the sides, gave me a bit of a problem. I applied a little liquid dish soap in the trim groove and problem solved. I slid the unit in place, insured it was level and fastened brackets to the underside of the counter top. Next I connected water and drain lines, plugged it in Job completed. 
Pro’s 
Well written Installation instructions are easy to follow and understand. Everything needed for the install is included, with some extra might be needed plumbing items. If connecting to a sink waste disposer, remember to remove the plug inside the disposer inlet. 
This is a very clean looking unit and to use a cliché, fit and finish is excellent. Top of door control with many options is accessible, easy to use and read. Options include, Five wash cycles / Steam sanitize / Dry boost, off, normal and high / Wash temp boost / Wash levels upper, lower and both. 
The digital timer shows approximate time to complete washing based on chosen options, when washing it shows time remaining. Light on the front is amber when washing and turns white when rinsing and drying. Plenty of headroom for tall items. Large removable basket for flatware with spray jets below for better cleaning. Top of cabinet has a sprayer and the bottom and mid cabinet units use revolving spray arms. The middle rack is easy to raise and lower for more clearance above bottom rack or top rack. A third tier (upper level) rack for flatware and cooking utensils looks like it will also be handy. Plenty room for even large cooking Utensils. After six uses I find it does a very good job of cleaning dishes, flatware, cups, tumblers and cookware. Very important, it is unbelievably quiet. 
Con’s (No deal breakers) 
Minimum user manual included, requiring you to access a more complete one online. That said, operation is very intuitive and the controls are easy to use and understand. It uses drain filters as opposed to a self cleaning soft food disposer. This requires  pre-rinsing / scraping some dishes and monitoring the filters to avoid unwanted odors.",100,"September 25, 2019"
Although replacing existing dishwasher I decided to do a like new install. Replacing both the wat...,"Although replacing existing dishwasher I decided to do a like new install. Replacing both the water-in line, drain hose and the 120 volt cable connecting the old dishwasher. I connected the electrical cord to the new DDT700. Then replaced the switch under the sink with a switched outlet. Running the cord and new hoses was easy as I followed the path of the old ones.
 Applying the plastic trim pieces across the top and down the sides, gave me a bit of a problem. I applied a little liquid dish soap in the trim groove and problem solved. I slid the unit in place, insured it was level and fastened brackets to the underside of the counter top. Next I connected water and drain lines, plugged it in Job completed. 
Pro’s 
Well written Installation instructions are easy to follow and understand. Everything needed for the install is included, with some extra might be needed plumbing items. If connecting to a sink waste disposer, remember to remove the plug inside the disposer inlet. 
This is a very clean looking unit and to use a cliché, fit and finish is excellent. Top of door control with many options is accessible, easy to use and read. Options include, Five wash cycles / Steam sanitize / Dry boost, off, normal and high / Wash temp boost / Wash levels upper, lower and both. 
The digital timer shows approximate time to complete washing based on chosen options, when washing it shows time remaining. Light on the front is amber when washing and turns white when rinsing and drying. Plenty of headroom for tall items. Large removable basket for flatware with spray jets below for better cleaning. Top of cabinet has a sprayer and the bottom and mid cabinet units use revolving spray arms. The middle rack is easy to raise and lower for more clearance above bottom rack or top rack. A third tier (upper level) rack for flatware and cooking utensils looks like it will also be handy. Plenty room for even large cooking Utensils. After six uses I find it does a very good job of cleaning dishes, flatware, cups, tumblers and cookware. Very important, it is unbelievably quiet. 
Con’s (No deal breakers) 
A minimal user manual is included so you may want to access the complete one online. That said, operation is very intuitive and the controls are easy to use and understand. It uses drain filters as opposed to a self cleaning soft food disposer. This requires pre-rinsing / scraping some dishes and monitoring the filters to avoid unwanted odors.",100,"September 16, 2019"
This unit is very quiet. The unit has Zone washes which allows you to wash as few or as many dish...,"This unit is very quiet. The unit has Zone washes which allows you to wash as few or as many dishes as you wish( as long as you don't exceed the racks) . There is a steam option which works pretty well on caked on stuff but if your not careful you can still bake some stubborn stuff on but overall its a nice feature.
The control panel is easy to use and the unit does as advertised. I did not get the installation from Home depot being a DIY guy . I kinda wish I had and suggest you get it as well . I found some of the instructions not quite as comprehensive as they could have been. The interior of the unit comes with a food grinder built in so those food caked dishes will be less likely to clog your plumbing. The middle rack is height adjustable, 2 position, and give plenty of room for glasses and bottles. The top rack is great and has its own zone so you can do a very small quantity of dishes. All in all other than the installation seems to be a very good machine.",100,"September 13, 2019"
"The Adora line is exclusive to Home Depot. It gives the appearance of a premium line, but I found...","The Adora line is exclusive to Home Depot. It gives the appearance of a premium line, but I found too many compromises and poor design choices to justify that. Note that GE Appliances is now a brand owned by the Haier Group of China.

Installation was typical, though I was annoyed by the use of four separate threaded feet rather than a front-access to raise or lower the rear, or adjustable wheels as found on a KitchenAid model I replaced with the GE. The cover for the wiring box would not fit as a plastic fastener on the chassis interfered with it. The insulation mat over the tub is so thin as to be of no effect, and it is missing insulation behind the toekick. If one believes the multi-model installation guide, some of these features do appear on other GE dishwashers. I was also disappointed in the build quality where the tub is welded together. There are ""trim strips"" that are to snap over the edge of this weld, but can't because it is too uneven.

This model has, in current fashion, a shallow top rack for flatware, but there are no dedicated water jets for this. I found that teaspoons slid out from the slots, leaving the bowls facing up to collect water. There is also a more traditional basket on the bottom rack with a dedicated water jet underneath. Unfortunately if you chose to not use the basket, so as to get more room, you can't shut off those jets. Note that this model does NOT have the raised ""bottle jets"" other GE models have.

The upper rack can be adjusted to just two positions. The lower position is so low that the upper water sprayer hits dinner plates in the lower rack. The upper position limits what you can put in, unless you remove the third rack. The prongs on the upper rack aren't tall enough to keep large glasses from tipping over, and those can't be placed along the sides either as they'll fall over there.

The layout of the bottom rack is also problematic. I found that I could not place rimmed glass plates in adjacent slots without them banging into each other. Again, the prongs are too short and there isn't the usual ""kink"" at the bottom that helps hold plates in place.

This is my first top-control dishwasher, and it was annoying that I would keep activating buttons with my shins when the door was down and I was trying to load it. I like that there is a time-remaining display, but you really can't see it when the door is closed. And speaking of the door, the stainless steel finish is a magnet for fingerprints and smudges.

In operation, it is moderately quiet, but not as quiet as the similarly-priced KitchenAid it replaced. It cleaned the dishes fine, and the fine mesh filters don't require cleaning every time. Note that the heating element is exposed in this model. There are quite a few cycle options, and you can disable heated drying (which we always do.) I didn't try the ""steam"" feature.

This model is capable of being ""connected"" to your home WiFi network, enabling use of an app to monitor the cycle, lock controls and automatically order more detergent pods. Unlike some GE models where this feature is built-in, you have to separately purchase the GE ConnectPlus PBX10W00Y0 module, not sold by Home Depot. (I bought it from the GE Appliances web site, where it was cheaper than from other sources.) This plugs in to a connector behind the toekick. I'd love to be able to tell you how it works, but I never got it to finish connecting - it always failed in the ""finishing up"" phase. 

In summary, this is a mid-line dishwasher at best, with some annoying design and build quality issues. I think there are better choices at this price point.",40,"September 8, 2019"
GE AdoranTop Control Tall Tub Dishwasher in Stainless Steel ... very nice quality for a mid-range...,"GE AdoranTop Control Tall Tub Dishwasher in Stainless Steel ... very nice quality for a mid-range dishwasher!


I ordered this GE Adora high tub stainless steel dishwasher because it offered a variety of features at a mid range price point. Although this Adora is not the top of the GE dishwasher line it does offer a third rack and stainless steel tub and even though it is noise rated at 48 dba it is extremely quiet. 

The install and delivery of this dishwasher was flawless, the delivery service had the old one removed and the new one installed in a little over an hour. When they unpacked the dishwasher we noticed the outer insulation was a little thin so we decided to keep the thicker insulation from my old dishwasher hoping it would lessen the vibration noise between the dishwasher and counter top but I have to say this dishwasher is really, really quiet. This Adora dishwasher has a stainless steel print resistant exterior and interior which is quite easy to clean and the stainless interior should keep the inside from rusting . This dishwasher has a tall tub which accommodates 3 racks, 2 very large racks for dishes and a top rack which is really handy for long utensils and cutlery. The second rack is adjustable 2 inches up or down so you can place large items in the bottom rack which is really a nice feature
Also included is a silverware basket with separators. 

Other features that make this dishwasher a good purchase are the multitude of wash features, besides the short, normal and heavy washes it also includes a 1 hour wash. I like this setting because I usually rinse my dishes prior to putting them in the dishwasher and I don't need a two hour wash on my everyday dishes. You also have the ability to wash a half load of dishes- you can wash just the bottom or the middle racks separately - which is great for cleaning small loads and also a real water saver. There is a choice of dry or extra dry at the end of the cycle. Another feature I really like on this dishwasher is there is a separate sprayer under the silverware basket and so far all of my silverware has come out spotlessly clean. 

This is a great dishwasher but there are a few insignificant negatives. The actual racks are not that substantial at least compared to my previous dishwasher and there is no glassware guards on the middle rack so there is nothing to hold your stemware in place. I noticed the dishwasher display is always on unless you close the door until you hear the click, then the digital display turns off when not in use. On the handle there is some decorative chrome trim on the bar and around the display and it shows water spots/water stains (the manufacturer should consider removing the chrome trims trim in my opinion). Last, there are no instructions included related to its operation, (install instructions are included). I would assume they want you to go online for these but I prefer a hard copy

Overall the GE Adora tall tub dishwasher is a very nice quality dishwasher. It is extremely quiet, does a excellent job of cleaning glassware and dishes and offers a wide variety of wash and dry cycles with half load and 1 hour wash cycles. For a mid-range dishwasher this is a good option, it has a stainless steel tub, 3 racks, with many wash options and all available at a great price (especially if you get it on sale)!


.",100,"September 8, 2019"
"There are many things that I like about this dishwasher. First, it has a cavernous interior and s...","There are many things that I like about this dishwasher. First, it has a cavernous interior and seems to be able to fit more than others. The top tray for cutleries is particularly useful. The bottom tray can be also re-arrange, which is nice. I also like that the menu is easy to navigate. The one hour clean is indeed one hour and that's very convenient. The dishwasher does look nice with a sober front and is easy to clean. Unlike other top-control dishwashers, it is actually possible with this one to read the time left without having to open the door. Dishes do come clean. Finally, it is rated 270 kwh/year which is really good. 

It is not perfect though. First, dishes come out wet, even with using rinsing agent. The heating element is not protected - unlike many modern dishwashers - and is sitting at the bottom of the dishwasher: if one plastic container falls, it will melt. The dishwasher is certainly not loud, especially compared to a twenty years old dishwasher. However, compared to similar price-range models, it is definitively louder then some of them. Unlike some competitors with which it is hard to know whether they are on or not, this one seems to have much less noise insulation. None of those items are no-nos for me and there are quick remedies for all of them: I open the door before going to bed and the dishes are dried in the morning. The noise ievel is also acceptable (completely fine to have a conversation.)",100,"September 5, 2019"
GE Adora Top Control Tall Tub Dishwasher in Stainless Steel with Stainless Steel Tub 48 dBA. Ultr...,"GE Adora Top Control Tall Tub Dishwasher in Stainless Steel with Stainless Steel Tub 48 dBA. Ultra-quiet operation creates a peaceful kitchen environment even as it delivers powerful wash performance.
The dishwasher is so quiet I had to lean in to be sure it was actually on. Adjustable racks that will accommodate tall items and larger items. You can even wash a half-load in either the upper or lower rack without sacrificing cycles with options available on a full wash. There is also a third rack across the top of the dishwasher to easily clean an entire flatware collection, knives and small utensils. There are forty jets just for silverware, so you get a spotless cleaning. No pre-rinsing of normal food soil is required. Use automatic dishwashing detergent in the detergent dispenser. Also add a rinse agent to the rinse dispenser. The user instructions are very clear. My favorite things are the smooth front and Dry Boost with Fan Assist. Gets hard-to-dry items up to 3 times drier than heated dry cycles, compared to heated dry option.",100,"August 29, 2019"
This dishwasher is a great value for the money. It's a top control stainless steel dishwasher fro...,"This dishwasher is a great value for the money. It's a top control stainless steel dishwasher from GE. It looks great, runs quiet, and has an extra drawer on top for flatware (like grilling/baking utensils).

The installation instructions are fairly thorough, but I would recommend getting it professionally installed. Dishwashers that aren't installed correctly can have draining problems, might not clean dishes very well, and could make more noise than they should.

That being said, this dishwasher cleans dishes very well, and seems to have a setting/function for every load. You can't expect a dishwasher to get really baked on filthy dishes spotlessly clean. However when we load the dishwasher right after cooking/eating a meal everything has come out clean for us. Just choose the right washing options, and clean dishes as soon as you soil them, and you shouldn't have any problems.

This dishwasher has a ton of capacity. I particularly like the extra thin drawer on top for flatware, or a extra couple plates. More capacity in the dishwasher means less dirty dishes that have to sit in the sink waiting for the next load.

This dishwasher looks great. Having the controls on the top really cleans up the look, and if you have this dishwasher installed correctly it makes almost no noise when it's running. Finally the option to wash lightly soiled dishes in roughly an hour including dry time is fantastic.


We ordered this dishwasher online, it arrived on time, was package well, and was not damaged at all in shipping. The delivery company was very professional and helpful.

I believe this dishwasher is a great value; It's a good name brand, it looks great, and it works quietly and does a great job. When we ordered this dishwasher, it was on special at almost 30% off the original list price.",100,"August 28, 2019"
GE Adora top control tall tub dishwasher in Stainless steel with stainless steel tub is an excell...,"GE Adora top control tall tub dishwasher in Stainless steel with stainless steel tub is an excellent addition to my kitchen. It has 48 dBA quiet motor, but really powerful and efficient cleaning. It has dry boost which dries items up to 3 times faster. It fits standard dishwasher opening in a cabinet. Rough cabinet opening must be at least 24"" W X 24"" D X 34–1/2"" H. It has a 3rd rack. Offers 1 hour wash. The controls are hidden. The handle on the door comes in handy to hang a kitchen towel.",100,"August 27, 2019"
Very quiet,It is very quiet and cleans very well. I would recommend it,80,"August 27, 2019"
My GE dishwasher,I Love my new Adora dishwasher It cleans and everything looks great. I have 2 things i don't like though and it's annoying! I wanted the stainless steel appliances.1st Finger prints are to hard to get off even with the special cleaner. 2nd The top rack for glasses and bowls doesn't stay in. Keeps rolling out while I load the bottom rack.,60,"April 25, 2019"
Super quiet,I love my new ge dishwasher!! It is super quiet and cleans great!! The top rack is wonderful and there is lots of room!!,100,"April 3, 2019"
great product,"Very quiet, every load has come out clean. Installed myself, very simple",100,"March 7, 2019"
Dishwasher does not clean dishes,This dishwasher does not clean dishes which makes its other features irrelevant.,20,"March 5, 2019"
Quiet dishwasher,I have had GE Appliances for 30 years. Great dishwasher.,100,"March 3, 2019"
Spacious!!,"The dishwasher looks great, however it doesn’t clean as well as I was hoping unless you use the longest setting; I even use the recommended dishwasher soap. The racks are also difficult to fit bowls and other containers in and it never fully dries the dishes. I got a great deal, however It’s barely meeting my expectations. ",60,"January 31, 2019"
Quiet when running!,I am very happy with my new dishwasher. It runs quietly and the top rack feature is a really nice option to have for extra storage of my utinsels.,100,"January 24, 2019"
Very quiet and cleans the dishes,I am pleased with the product but the tray that you put the cups in which is the top second tray doesn’t lock into the dishwasher washer. How do I get the fixed ?,100,"January 20, 2019"
Incredibly quiet,"I bought this a month ago.  It is very quiet and it looks great.  The air drying feature may not be for everyone as the top rack items remain damp. The heat dry feature works great. Overall, I like it.",100,"November 23, 2018"
Great look!,Had GE dishwasher; lasted forever! This one is for a small kitchen in a retirement home.,100,"September 19, 2018"
Great product!,"I am very happy with my GE Adora dishwasher! Efficient, quiet, sleek in appearance and was an easy install. The racks are easy to load and very functional. Very satisfied and highly recommend.",100,"August 30, 2018"
Very nice looking and so quite.,"Very nice product! High quality......
I also heard the costumer service is great. I have not had to use them yet. .....",100,"August 29, 2018"
Super Quiet!,"I bought this dishwasher after looking at many different brands and models. I was already sold on the features it had (i.e. third rack, two washing zones, etc.) but I was a little concerned about how loud the dishwasher would be. I've only had this appliance for about two weeks but I can say that I love it. It is so quiet! I can run a full load before going to bed and not hear a sound. I can run a load while watching tv and I can barely hear it. Aside from that, it washes everything perfectly. I love the steam option on the unit as well.",100,"July 13, 2018"
Nice details,"I installed the unit myself. There were a few extra steps such as the sound dampening and the rubber trim molding that made the installation a lot more complete and professional. It looks great, it's very quiet, end of the third rack at the top is a nice extra. Looking forward to many years of use.",100,"June 19, 2018"
Great dishwasher!!! A couple small flaws.,I bought this dishwasher about a year ago and I love it! There are a couple of things that need a little bit of work though. All the cycles take a long time to go through! It would be nice to have a quick wash under an hour once in a while.  Also the top metal trim piece on the front door caught on a piece of clothing and snapped in half after only a week of having it. Trying to get it replacement part has been very difficult.,80,"May 5, 2018"
Awesome ge slate dishwasher,I’ve owned GE dishwashers foe over 40 years and this is the quietest one I have ever owned! You can’t tell if it is running! It does a greatjob cleaning also. I love the top cutlery rack and hidden controls.,100,"April 30, 2018"
Does a superb job!!,A great addition to our newly remodeled kitchen and it does a superb job!!,100,"March 30, 2018"
Great Disheasher!,"We saw this model and we're instantly drawn to all the features.  Hard food disposer, upper and lower wash zones, sanitize, heated dry, and a 3rd rack, which is great for all of the small utensils and odds and ends.  It is quiet and efficient. This is the first dishwasher for this house (and us) so we did have to do all of the electrical and plumbing to get ready for installation. Very worth it!",100,"February 10, 2018"
best items,"Very good items, and easy to use and since it got extra tray
make a lot better for utensils",100,"February 9, 2018"
Quality dishwasher,This is my second one of these.  I had to get this same model when I moved to a new home.  With 5 kids it’s a never ending cleaning cycle and these are easy to maintain and never fail me. Both the older one in my old home which is 5years old and my new one never miss a beat or leave a dirty dish!,100,"December 21, 2017"
Cleans very well and super quiet,I bought this Adora dishwasher in August 2017. It cleans dishes very well and is super quiet. The Start button sticks and the dishes don't dry very well but overall I love the appliance. The stainless steel interior is great and I love love love the third rack! The hidden controls are terrific. Recommended and would buy again.,80,"October 9, 2017"
Dryer is great,Love the features of our new dishwasher. It's so quiet.,100,"June 6, 2017"
So quiet!!!,I love my new dishwasher!!!   It is soooo quiet when it is washing.    I like how each rack has its own sprayer and  I can put my big bowls in the bottom rack and know all my dishes will  get washed.  I don't 'rinse' my dishes anymore before I put them in the dishwasher and they come out very clean!!!   I love the 3rd rack for the larger utensils and other smaller items.   It is fun to do dishes again!  LOL   Did I say that  I really lovvvvvvvve my  new dishwasher.,100,"April 6, 2017"
Great product,"I've had this stainless steel dishwasher for 3 months now and it has been wonderful. It's quite, washes good, took a while to get use the settings on the dishwasher but they are great. I like the silverware holder you can load a lot of it. Great dishwasher overall.",100,"March 21, 2017"
I love the double wash option,"This new dish washer is perfect. Completes the whole entire GE kitchen set. Beautiful!! Great options to select from dual wash option to the energy saving selections, this will serve me for years. I'm truly satisfied.",100,"February 15, 2017"
Great dishwasher,"I bought this dishwasher approx. 2 months ago.  I have been very pleased with it.  It is quiet, well thought out, and it does a good job of cleaning my dishes.  It is very nice looking as well.",100,"January 5, 2017"
Very quiet,Just purchased had it installed today. Couldn't wait to use it it worked beautifully and so quiet,100,"November 22, 2016"
Great dishwasher! Great Price!,"I am thrilled with this dishwasher. Does everything I expected it too. I love the 3rd rack. 
My dishes are sparkling clean! It is so quite. Never heard a quite dishwasher before!!!",80,"November 21, 2016"
Clean simple design!,Had for a month now and it is very quiet and bonus; it has a handle on which a towel can be hung instead of the oven.,100,"October 30, 2016"
nice looking appliance but...,"Bought this dishwasher two months ago. Love the sleek look. Super quiet. Lots of room for dishes. Love the silverware holder.  We have noticed a few small puddles of water by each corner of the door occasionally. Not every cycle though. At first we thought it was from where we had opened the door to unload it. But this last time, the puddles were there before the door was even opened and there was a drip from the corner. GE will need to fix this.",40,"October 2, 2016"
Super quite,"Installed and had to test it out.  It is super quite, I am going to love this purchase.",100,"July 19, 2016"
Rating provided by a verified purchaser...,Rating provided by a verified purchaser,100,"November 26, 2020"
I have only had this dishwasher for a month but...,"I have only had this dishwasher for a month but so far I love it.
I have been without a dishwasher for over 6 months.  It took me awhile to make the purchase because there are so many options out there.  Now that I have made the purchase I am pleased.   I only run the dishwasher once a day, just before I retire for the evening.  By morning it is done and all the dishes are dry and clean.  It is also very quiet.",100,"November 25, 2020"
Performs much better than the reviews I read. We are...,Performs much better than the reviews I read. We are VERY impressed with the cleaning and drying,100,"November 25, 2020"
